"","Chi-square","P-value","Odds Ratio (Anaphylaxis/Not)"
"C-reactive protein increased",0.0916114687924111,0.762138416495612,1.75288753799392
"Urine analysis abnormal",0.0916114687924111,0.762138416495612,1.75288753799392
"Abortion missed",0.085003474699738,0.770627991885454,0
"Pain in jaw",0.085003474699738,0.770627991885454,0
"Blood alkaline phosphatase increased",0.085003474699738,0.770627991885454,0
"Nerve conduction studies normal",0.085003474699738,0.770627991885454,0
"Blood glucose normal",0.085003474699738,0.770627991885454,0
"Haematoma",0.085003474699738,0.770627991885454,0
"Ultrasound abdomen",0.085003474699738,0.770627991885454,0
"Nerve root lesion",2.22066574367145e-24,0.999999999998811,0
"Transaminases",1.49856114379299e-27,0.999999999999969,0
"Haematocrit decreased",0.0834102066427154,0.772728116611638,0.657964347326049
"Syncope",0.0802513181419866,0.77695712079968,1.17728163493841
"Chest X-ray abnormal",0.0713983576715621,0.789311549002899,0.667094141649665
"Sensation of heaviness",0.0683097747368241,0.793813830920721,1.69214966984593
"Induration",0.0682661796825963,0.793878151007807,0.529568901989683
"Depression",0.0633933414138166,0.801210851514315,0
"Eye irritation",0.0633933414138166,0.801210851514315,0
"Protein total decreased",0.0633933414138166,0.801210851514315,0
"Monocyte percentage increased",0.0633933414138166,0.801210851514315,0
"Angiogram",0.0633933414138166,0.801210851514315,0
"Gaze palsy",0.0633933414138166,0.801210851514315,0
"Otic examination",2.22066574367145e-24,0.999999999998811,0
"Allergy test",0.0631721388257468,0.801550724097612,3.06514830508475
"Scratch",0.0631721388257468,0.801550724097612,3.06514830508475
"Cheilitis",0.0631721388257468,0.801550724097612,3.06514830508475
"Sensation of foreign body",0.0631721388257468,0.801550724097612,3.06514830508475
"Hypoxia",0.0631721388257468,0.801550724097612,3.06514830508475
"Blood urea decreased",0.0631721388257468,0.801550724097612,3.06514830508475
"Blood immunoglobulin A increased",1.49856114379299e-27,0.999999999999969,0
"Joint swelling",0.0490275816122584,0.82476407579935,1.6354609929078
"Monocyte count increased",0.0440751586486615,0.833713842374899,0
"Liver function test normal",0.0440751586486615,0.833713842374899,0
"Retching",0.0440751586486615,0.833713842374899,0
"Photophobia",0.0440751586486615,0.833713842374899,0
"Blood gases abnormal",0.0440751586486615,0.833713842374899,0
"White blood cells urine positive",0.0440751586486615,0.833713842374899,0
"CSF glucose increased",0.0440751586486615,0.833713842374899,0
"Mean cell haemoglobin concentration",0.0440751586486615,0.833713842374899,0
"Gram stain",0.0440751586486615,0.833713842374899,0
"Polyneuropathy",0.0440751586486615,0.833713842374899,0
"Drooling",0.0440751586486615,0.833713842374899,0
"Blood urine present",0.0440751586486615,0.833713842374899,0
"Mononucleosis heterophile test",0.0440751586486615,0.833713842374899,0
"Pharyngitis streptococcal",9.67273894802013e-31,0.999999999999999,0
"Alanine aminotransferase increased",0.0426243544328873,0.836434211987523,0.55383281972265
"Intensive care",0.0426243544328873,0.836434211987523,0.55383281972265
"Nasal congestion",0.0413290347046604,0.838904121811195,0.761084401709402
"Rhinorrhoea",0.0373797345535083,0.846693959547568,0.849139232860163
"Injection site movement impairment",2.35322433689264,0.125024173192343,24.5508474576271
"Drug hypersensitivity",0.030435737611649,0.861505211716449,2.7241054613936
"Sinus tachycardia",0.030435737611649,0.861505211716449,2.7241054613936
"Posture abnormal",0.030435737611649,0.861505211716449,2.7241054613936
"Sepsis",0.030435737611649,0.861505211716449,2.7241054613936
"Haematocrit normal",0.030435737611649,0.861505211716449,2.7241054613936
"Fine motor delay",1.49856114379299e-27,0.999999999999969,0
"Body temperature",0.0294863075065051,0.863660983092745,1.16125146886016
"Mydriasis",0.0274761057252767,0.868346471346428,0
"Bacteria urine",0.0274761057252767,0.868346471346428,0
"Influenza serology positive",0.0274761057252767,0.868346471346428,0
"Differential white blood cell count",0.0274761057252767,0.868346471346428,0
"Foetal heart rate abnormal",0.0274761057252767,0.868346471346428,0
"Protein urine present",0.0274761057252767,0.868346471346428,0
"Incorrect drug dosage form administered",0.0274761057252767,0.868346471346428,0
"Cardiac arrest",0.0274761057252767,0.868346471346428,0
"Blood creatine phosphokinase MB",0.0274761057252767,0.868346471346428,0
"Abscess",0.0274761057252767,0.868346471346428,0
"Stomatitis",0.0274761057252767,0.868346471346428,0
"Prothrombin time normal",0.0274761057252767,0.868346471346428,0
"Tenderness",0.0222807209107724,0.881342732682722,0.580407586763519
"Balance disorder",0.0149978247763027,0.902530282959354,1.31387362637363
"Blood sodium",0.0149978247763027,0.902530282959354,1.31387362637363
"Haemoglobin",0.0144310365484229,0.904380762536473,0.833131579912696
"Lumbar puncture normal",0.0141372782665613,0.905354354322932,0
"Aphasia",0.0141372782665613,0.905354354322932,0
"CSF white blood cell count increased",0.0141372782665613,0.905354354322932,0
"Dysuria",0.0141372782665613,0.905354354322932,0
"Urinary sediment present",0.0141372782665613,0.905354354322932,0
"Biopsy",0.0141372782665613,0.905354354322932,0
"Red blood cells urine positive",0.0141372782665613,0.905354354322932,0
"Urine abnormality",0.0141372782665613,0.905354354322932,0
"Joint range of motion decreased",0.0141372782665613,0.905354354322932,0
"Myelitis transverse",0.0141372782665613,0.905354354322932,0
"Respiratory arrest",0.0141372782665613,0.905354354322932,0
"Blood magnesium",0.0141372782665613,0.905354354322932,0
"Protein total increased",0.0141372782665613,0.905354354322932,0
"Glycosylated haemoglobin",0.0141372782665613,0.905354354322932,0
"Hypotension",0.0118644444084595,0.913262746504395,1.48600902643456
"Optic nerve disorder",1.49856114379299e-27,0.999999999999969,0
"Disturbance in attention",0.0110928936721878,0.916119666261084,2.45127118644068
"Increased upper airway secretion",0.0110928936721878,0.916119666261084,2.45127118644068
"Anion gap decreased",0.0110928936721878,0.916119666261084,2.45127118644068
"Skin burning sensation",0.0110928936721878,0.916119666261084,2.45127118644068
"Platelet count normal",0.0110928936721878,0.916119666261084,2.45127118644068
"Sputum culture",0.0110928936721878,0.916119666261084,2.45127118644068
"Haematocrit",0.010697655314699,0.917622123695941,0.803606649760496
"Lymphocyte percentage decreased",0.00800255385994546,0.928718729942597,0.609639830508475
"Laryngitis",0.00475437258922824,0.945027859948031,0
"Mechanical ventilation",0.00475437258922824,0.945027859948031,0
"Resuscitation",0.00475437258922824,0.945027859948031,0
"Blindness",0.00475437258922824,0.945027859948031,0
"Renal failure acute",0.00475437258922824,0.945027859948031,0
"CSF test normal",0.00475437258922824,0.945027859948031,0
"Thrombocytopenia",0.00475437258922824,0.945027859948031,0
"Leukocytosis",0.00475437258922824,0.945027859948031,0
"Lymphocyte count increased",0.00475437258922824,0.945027859948031,0
"Blood bicarbonate",0.00475437258922824,0.945027859948031,0
"Demyelination",0.00475437258922824,0.945027859948031,0
"Joint stiffness",0.00475437258922824,0.945027859948031,0
"Migraine",0.00341975697612873,0.953367337774099,0.625380269448066
"Blister",0.00341975697612873,0.953367337774099,0.625380269448066
"Back pain",0.00217185420492504,0.962829516164234,0.863230658209579
"Arrhythmia",0.00179861703785645,0.966171772674697,2.22804314329738
"Tachypnoea",0.00179861703785645,0.966171772674697,2.22804314329738
"Shock",0.00179861703785645,0.966171772674697,2.22804314329738
"Pulmonary congestion",0.00179861703785645,0.966171772674697,2.22804314329738
"Ammonia normal",2.22066574367145e-24,0.999999999998811,0
"Viral infection",0.00154126402513276,0.96868394599535,1.40060790273556
"Injection site pustule",9.67273894802013e-31,0.999999999999999,0
"Bone pain",0.000237147507377226,0.987713387018767,0
"Injection site haematoma",0.000237147507377226,0.987713387018767,0
"Hyperreflexia",0.000237147507377226,0.987713387018767,0
"Sinus headache",0.000237147507377226,0.987713387018767,0
"Incorrect route of drug administration",0.000237147507377226,0.987713387018767,0
"Eyelid ptosis",0.000237147507377226,0.987713387018767,0
"Depressed level of consciousness",0.000237147507377226,0.987713387018767,0
"Skin lesion",0.000237147507377226,0.987713387018767,0
"Petechiae",0.000237147507377226,0.987713387018767,0
"Injection site papule",0.000237147507377226,0.987713387018767,0
"Eye movement disorder",0.000237147507377226,0.987713387018767,0
"Eye discharge",0.000237147507377226,0.987713387018767,0
"Herpes simplex",0.000237147507377226,0.987713387018767,0
"Grip strength",0.000237147507377226,0.987713387018767,0
"Acidosis",0.000237147507377226,0.987713387018767,0
"Epstein-Barr virus antibody",0.000237147507377226,0.987713387018767,0
"Influenza serology",8.90463458833426e-05,0.992470924237205,0.786959505833905
"Metabolic function test normal",3.40140066373783e-05,0.995346641680273,1.36146572104019
"Trisomy 21",2.22066574367145e-24,0.999999999998811,0
"DNA antibody positive",2.22066574367145e-24,0.999999999998811,0
"Antibody test abnormal",2.22066574367145e-24,0.999999999998811,0
"CSF glucose abnormal",2.22066574367145e-24,0.999999999998811,0
"Osteopenia",2.22066574367145e-24,0.999999999998811,0
"Acquired immunodeficiency syndrome",2.22066574367145e-24,0.999999999998811,0
"Coronary arterial stent insertion",2.22066574367145e-24,0.999999999998811,0
"HIV antibody positive",2.22066574367145e-24,0.999999999998811,0
"Neutrophil toxic granulation present",2.22066574367145e-24,0.999999999998811,0
"Delusional perception",2.22066574367145e-24,0.999999999998811,0
"Drug eruption",2.22066574367145e-24,0.999999999998811,0
"Tonsillar inflammation",2.22066574367145e-24,0.999999999998811,0
"Hydromyelia",2.22066574367145e-24,0.999999999998811,0
"Lhermitte's sign",2.22066574367145e-24,0.999999999998811,0
"Parasomnia",2.22066574367145e-24,0.999999999998811,0
"Posturing",2.22066574367145e-24,0.999999999998811,0
"Haemorrhagic erosive gastritis",2.22066574367145e-24,0.999999999998811,0
"Thrombophlebitis superficial",2.22066574367145e-24,0.999999999998811,0
"Ammonia increased",2.22066574367145e-24,0.999999999998811,0
"Mycotic allergy",2.22066574367145e-24,0.999999999998811,0
"Eschar",2.22066574367145e-24,0.999999999998811,0
"Oropharyngeal blistering",2.22066574367145e-24,0.999999999998811,0
"Myodesopsia",2.22066574367145e-24,0.999999999998811,0
"Accidental needle stick",2.22066574367145e-24,0.999999999998811,0
"Kawasaki's disease",2.22066574367145e-24,0.999999999998811,0
"Electrocardiogram ambulatory normal",2.22066574367145e-24,0.999999999998811,0
"Animal scratch",2.22066574367145e-24,0.999999999998811,0
"Joint warmth",2.22066574367145e-24,0.999999999998811,0
"Progesterone",2.22066574367145e-24,0.999999999998811,0
"Body temperature fluctuation",2.22066574367145e-24,0.999999999998811,0
"Streptococcal infection",2.22066574367145e-24,0.999999999998811,0
"Vascular injury",2.22066574367145e-24,0.999999999998811,0
"Injection site paraesthesia",2.22066574367145e-24,0.999999999998811,0
"Scrotal erythema",2.22066574367145e-24,0.999999999998811,0
"Blood pH decreased",2.22066574367145e-24,0.999999999998811,0
"Alpha 1 foetoprotein amniotic fluid normal",2.22066574367145e-24,0.999999999998811,0
"Puerperal pyrexia",2.22066574367145e-24,0.999999999998811,0
"Genital lesion",2.22066574367145e-24,0.999999999998811,0
"Funisitis",2.22066574367145e-24,0.999999999998811,0
"Anticonvulsant drug level therapeutic",2.22066574367145e-24,0.999999999998811,0
"Blood selenium",2.22066574367145e-24,0.999999999998811,0
"Laparoscopic surgery",2.22066574367145e-24,0.999999999998811,0
"Laryngeal stenosis",2.22066574367145e-24,0.999999999998811,0
"Retained products of conception",2.22066574367145e-24,0.999999999998811,0
"Streptococcal bacteraemia",2.22066574367145e-24,0.999999999998811,0
"Abortion induced",2.22066574367145e-24,0.999999999998811,0
"Weight gain poor",2.22066574367145e-24,0.999999999998811,0
"Amniocentesis",2.22066574367145e-24,0.999999999998811,0
"Blood immunoglobulin A normal",2.22066574367145e-24,0.999999999998811,0
"Prothrombin level normal",2.22066574367145e-24,0.999999999998811,0
"Blepharitis",2.22066574367145e-24,0.999999999998811,0
"Antiallergic therapy",2.22066574367145e-24,0.999999999998811,0
"Antibody test negative",2.22066574367145e-24,0.999999999998811,0
"Coronary artery occlusion",2.22066574367145e-24,0.999999999998811,0
"Schizophrenia",2.22066574367145e-24,0.999999999998811,0
"Blood prolactin increased",2.22066574367145e-24,0.999999999998811,0
"Pituitary cyst",2.22066574367145e-24,0.999999999998811,0
"Catheterisation cardiac",2.22066574367145e-24,0.999999999998811,0
"Prostate examination normal",2.22066574367145e-24,0.999999999998811,0
"Placenta praevia",2.22066574367145e-24,0.999999999998811,0
"Gastrointestinal infection",2.22066574367145e-24,0.999999999998811,0
"Iron binding capacity total increased",2.22066574367145e-24,0.999999999998811,0
"Thyroid function test abnormal",2.22066574367145e-24,0.999999999998811,0
"Pharyngeal inflammation",2.22066574367145e-24,0.999999999998811,0
"Antiacetylcholine receptor antibody",2.22066574367145e-24,0.999999999998811,0
"Epidermal growth factor receptor decreased",2.22066574367145e-24,0.999999999998811,0
"Cardioactive drug level decreased",2.22066574367145e-24,0.999999999998811,0
"Amaurosis",2.22066574367145e-24,0.999999999998811,0
"Carotid artery stenosis",2.22066574367145e-24,0.999999999998811,0
"Aortic aneurysm rupture",2.22066574367145e-24,0.999999999998811,0
"Bacterial test negative",2.22066574367145e-24,0.999999999998811,0
"Antibody test normal",2.22066574367145e-24,0.999999999998811,0
"Cholelithiasis",2.22066574367145e-24,0.999999999998811,0
"Bacterial tracheitis",2.22066574367145e-24,0.999999999998811,0
"Onychalgia",2.22066574367145e-24,0.999999999998811,0
"Sinus arrest",2.22066574367145e-24,0.999999999998811,0
"Eustachian tube disorder",2.22066574367145e-24,0.999999999998811,0
"Muscle injury",2.22066574367145e-24,0.999999999998811,0
"Erythema of eyelid",2.22066574367145e-24,0.999999999998811,0
"Abdominal adhesions",2.22066574367145e-24,0.999999999998811,0
"Borrelia test positive",2.22066574367145e-24,0.999999999998811,0
"Bronchitis chronic",2.22066574367145e-24,0.999999999998811,0
"Biopsy oesophagus normal",2.22066574367145e-24,0.999999999998811,0
"Free thyroxine index normal",2.22066574367145e-24,0.999999999998811,0
"Allergy test positive",2.22066574367145e-24,0.999999999998811,0
"Breast tenderness",2.22066574367145e-24,0.999999999998811,0
"Basophil percentage increased",2.22066574367145e-24,0.999999999998811,0
"Culture wound positive",2.22066574367145e-24,0.999999999998811,0
"Arterial thrombosis limb",2.22066574367145e-24,0.999999999998811,0
"Complement factor C3 decreased",2.22066574367145e-24,0.999999999998811,0
"Heparin-induced thrombocytopenia",2.22066574367145e-24,0.999999999998811,0
"Blood immunoglobulin M decreased",2.22066574367145e-24,0.999999999998811,0
"Mucosal dryness",2.22066574367145e-24,0.999999999998811,0
"PCO2 increased",2.22066574367145e-24,0.999999999998811,0
"Imaging procedure",2.22066574367145e-24,0.999999999998811,0
"Immunosuppression",2.22066574367145e-24,0.999999999998811,0
"Sinus arrhythmia",2.22066574367145e-24,0.999999999998811,0
"Hyperkeratosis",2.22066574367145e-24,0.999999999998811,0
"CSF bacteria identified",2.22066574367145e-24,0.999999999998811,0
"Body tinea",2.22066574367145e-24,0.999999999998811,0
"Myofascial pain syndrome",2.22066574367145e-24,0.999999999998811,0
"Lymphocytosis",2.22066574367145e-24,0.999999999998811,0
"Gastrointestinal disorder",2.22066574367145e-24,0.999999999998811,0
"Eyes sunken",2.22066574367145e-24,0.999999999998811,0
"Antimicrobial susceptibility test resistant",2.22066574367145e-24,0.999999999998811,0
"Aphthous stomatitis",2.22066574367145e-24,0.999999999998811,0
"Small intestinal stenosis",2.22066574367145e-24,0.999999999998811,0
"Aspiration bone marrow",2.22066574367145e-24,0.999999999998811,0
"Eye inflammation",2.22066574367145e-24,0.999999999998811,0
"Appendix disorder",2.22066574367145e-24,0.999999999998811,0
"Explorative laparotomy",2.22066574367145e-24,0.999999999998811,0
"Allergy to arthropod sting",2.22066574367145e-24,0.999999999998811,0
"Ultrasound testes",2.22066574367145e-24,0.999999999998811,0
"Blood cortisol normal",2.22066574367145e-24,0.999999999998811,0
"Conjunctivitis viral",2.22066574367145e-24,0.999999999998811,0
"Angiofibroma",2.22066574367145e-24,0.999999999998811,0
"Exostosis",2.22066574367145e-24,0.999999999998811,0
"Anti-SS-B antibody positive",2.22066574367145e-24,0.999999999998811,0
"Anaemia macrocytic",2.22066574367145e-24,0.999999999998811,0
"Eosinophils urine present",2.22066574367145e-24,0.999999999998811,0
"Rinne tuning fork test",2.22066574367145e-24,0.999999999998811,0
"Adrenal insufficiency",2.22066574367145e-24,0.999999999998811,0
"Decubitus ulcer",2.22066574367145e-24,0.999999999998811,0
"Activated partial thromboplastin time normal",2.22066574367145e-24,0.999999999998811,0
"Aldolase increased",2.22066574367145e-24,0.999999999998811,0
"Abdominal infection",2.22066574367145e-24,0.999999999998811,0
"Cataract operation",2.22066574367145e-24,0.999999999998811,0
"Tonsillar disorder",2.22066574367145e-24,0.999999999998811,0
"Basophil count normal",2.22066574367145e-24,0.999999999998811,0
"Eyelid pain",2.22066574367145e-24,0.999999999998811,0
"Aptyalism",2.22066574367145e-24,0.999999999998811,0
"Infusion site warmth",2.22066574367145e-24,0.999999999998811,0
"Abdominal hernia",2.22066574367145e-24,0.999999999998811,0
"Communication disorder",2.22066574367145e-24,0.999999999998811,0
"Cytomegalovirus antibody negative",2.22066574367145e-24,0.999999999998811,0
"Hepatitis B antibody negative",2.22066574367145e-24,0.999999999998811,0
"Tuberculin test negative",2.22066574367145e-24,0.999999999998811,0
"Urine bilirubin increased",2.22066574367145e-24,0.999999999998811,0
"Shock haemorrhagic",2.22066574367145e-24,0.999999999998811,0
"Coxsackie virus serology test",2.22066574367145e-24,0.999999999998811,0
"Trigeminal neuralgia",2.22066574367145e-24,0.999999999998811,0
"Duodenitis",2.22066574367145e-24,0.999999999998811,0
"Osteitis",2.22066574367145e-24,0.999999999998811,0
"Suicidal ideation",2.22066574367145e-24,0.999999999998811,0
"Epigastric discomfort",2.22066574367145e-24,0.999999999998811,0
"Amniotic fluid volume decreased",2.22066574367145e-24,0.999999999998811,0
"Melanocytic naevus",2.22066574367145e-24,0.999999999998811,0
"Corneal disorder",2.22066574367145e-24,0.999999999998811,0
"Blood immunoglobulin M increased",2.22066574367145e-24,0.999999999998811,0
"Drug interaction",2.22066574367145e-24,0.999999999998811,0
"Tympanometry normal",2.22066574367145e-24,0.999999999998811,0
"Appetite disorder",2.22066574367145e-24,0.999999999998811,0
"Eye burns",2.22066574367145e-24,0.999999999998811,0
"Spinal X-ray normal",2.22066574367145e-24,0.999999999998811,0
"Liver transplant rejection",2.22066574367145e-24,0.999999999998811,0
"Dyslipidaemia",2.22066574367145e-24,0.999999999998811,0
"Pancreatic disorder",2.22066574367145e-24,0.999999999998811,0
"Abnormal weight gain",2.22066574367145e-24,0.999999999998811,0
"Craniosynostosis",2.22066574367145e-24,0.999999999998811,0
"Pityriasis rubra pilaris",2.22066574367145e-24,0.999999999998811,0
"Renal disorder",2.22066574367145e-24,0.999999999998811,0
"Blood mercury",2.22066574367145e-24,0.999999999998811,0
"Cytomegalovirus test positive",2.22066574367145e-24,0.999999999998811,0
"Indifference",2.22066574367145e-24,0.999999999998811,0
"Electrophoresis abnormal",2.22066574367145e-24,0.999999999998811,0
"Immunoelectrophoresis",2.22066574367145e-24,0.999999999998811,0
"Chronic sinusitis",2.22066574367145e-24,0.999999999998811,0
"Negativism",2.22066574367145e-24,0.999999999998811,0
"Heterophoria",2.22066574367145e-24,0.999999999998811,0
"Abdomen scan",2.22066574367145e-24,0.999999999998811,0
"Herpes zoster ophthalmic",2.22066574367145e-24,0.999999999998811,0
"Hand deformity",2.22066574367145e-24,0.999999999998811,0
"Foetal tobacco exposure",2.22066574367145e-24,0.999999999998811,0
"Chronic hepatic failure",2.22066574367145e-24,0.999999999998811,0
"Hepatic hydrothorax",2.22066574367145e-24,0.999999999998811,0
"Osmotic demyelination syndrome",2.22066574367145e-24,0.999999999998811,0
"Biopsy lymph gland normal",2.22066574367145e-24,0.999999999998811,0
"Abortion incomplete",2.22066574367145e-24,0.999999999998811,0
"Bone disorder",2.22066574367145e-24,0.999999999998811,0
"Anosmia",2.22066574367145e-24,0.999999999998811,0
"Iron binding capacity total decreased",2.22066574367145e-24,0.999999999998811,0
"Attention deficit/hyperactivity disorder",2.22066574367145e-24,0.999999999998811,0
"HIV test positive",2.22066574367145e-24,0.999999999998811,0
"X-ray gastrointestinal tract abnormal",2.22066574367145e-24,0.999999999998811,0
"Vitamin D increased",2.22066574367145e-24,0.999999999998811,0
"Retroperitoneal haemorrhage",2.22066574367145e-24,0.999999999998811,0
"Antimitochondrial antibody normal",2.22066574367145e-24,0.999999999998811,0
"Occult blood negative",2.22066574367145e-24,0.999999999998811,0
"Acoustic stimulation tests abnormal",2.22066574367145e-24,0.999999999998811,0
"Diffuse alveolar damage",2.22066574367145e-24,0.999999999998811,0
"Lividity",2.22066574367145e-24,0.999999999998811,0
"Obstructive uropathy",2.22066574367145e-24,0.999999999998811,0
"CD4 lymphocytes decreased",2.22066574367145e-24,0.999999999998811,0
"Antepartum haemorrhage",2.22066574367145e-24,0.999999999998811,0
"Abortion complete",2.22066574367145e-24,0.999999999998811,0
"Regurgitation",2.22066574367145e-24,0.999999999998811,0
"Deafness bilateral",2.22066574367145e-24,0.999999999998811,0
"Sexual dysfunction",2.22066574367145e-24,0.999999999998811,0
"Rett's disorder",2.22066574367145e-24,0.999999999998811,0
"Cardiac discomfort",2.22066574367145e-24,0.999999999998811,0
"Speech rehabilitation",2.22066574367145e-24,0.999999999998811,0
"C-reactive protein abnormal",2.22066574367145e-24,0.999999999998811,0
"Abortion spontaneous incomplete",2.22066574367145e-24,0.999999999998811,0
"Angiotensin converting enzyme decreased",2.22066574367145e-24,0.999999999998811,0
"Cervical spinal stenosis",2.22066574367145e-24,0.999999999998811,0
"Needle issue",2.22066574367145e-24,0.999999999998811,0
"Catatonia",2.22066574367145e-24,0.999999999998811,0
"Amniorrhoea",2.22066574367145e-24,0.999999999998811,0
"Meningioma",2.22066574367145e-24,0.999999999998811,0
"Blood fibrinogen increased",2.22066574367145e-24,0.999999999998811,0
"Nail bed bleeding",2.22066574367145e-24,0.999999999998811,0
"Nodule on extremity",2.22066574367145e-24,0.999999999998811,0
"Soft tissue infection",2.22066574367145e-24,0.999999999998811,0
"Influenza virus test negative",2.22066574367145e-24,0.999999999998811,0
"Laparoscopy",2.22066574367145e-24,0.999999999998811,0
"Chondrocalcinosis pyrophosphate",2.22066574367145e-24,0.999999999998811,0
"Gastrostomy tube insertion",2.22066574367145e-24,0.999999999998811,0
"Sinus bradycardia",2.22066574367145e-24,0.999999999998811,0
"Tooth injury",2.22066574367145e-24,0.999999999998811,0
"Encopresis",2.22066574367145e-24,0.999999999998811,0
"Dacryostenosis acquired",2.22066574367145e-24,0.999999999998811,0
"Hyperemesis gravidarum",2.22066574367145e-24,0.999999999998811,0
"Bronchoscopy normal",2.22066574367145e-24,0.999999999998811,0
"Furuncle",2.22066574367145e-24,0.999999999998811,0
"Angiogram cerebral normal",2.22066574367145e-24,0.999999999998811,0
"Amniocentesis normal",2.22066574367145e-24,0.999999999998811,0
"Biopsy bone marrow",2.22066574367145e-24,0.999999999998811,0
"Retrograde amnesia",2.22066574367145e-24,0.999999999998811,0
"Breast pain",2.22066574367145e-24,0.999999999998811,0
"Genital rash",2.22066574367145e-24,0.999999999998811,0
"Transaminases increased",2.22066574367145e-24,0.999999999998811,0
"Folliculitis",2.22066574367145e-24,0.999999999998811,0
"Single photon emission computerised tomogram abnormal",2.22066574367145e-24,0.999999999998811,0
"Computerised tomogram abdomen normal",2.22066574367145e-24,0.999999999998811,0
"Albumin globulin ratio abnormal",2.22066574367145e-24,0.999999999998811,0
"Facet joint syndrome",2.22066574367145e-24,0.999999999998811,0
"Anti-thyroid antibody positive",2.22066574367145e-24,0.999999999998811,0
"Blood testosterone decreased",2.22066574367145e-24,0.999999999998811,0
"Hypertrophy of tongue papillae",2.22066574367145e-24,0.999999999998811,0
"Injection site hypersensitivity",2.22066574367145e-24,0.999999999998811,0
"Catheterisation cardiac normal",2.22066574367145e-24,0.999999999998811,0
"Urinary tract disorder",2.22066574367145e-24,0.999999999998811,0
"Bradyphrenia",2.22066574367145e-24,0.999999999998811,0
"Delivery",2.22066574367145e-24,0.999999999998811,0
"Bone marrow harvest",2.22066574367145e-24,0.999999999998811,0
"Aortic disorder",2.22066574367145e-24,0.999999999998811,0
"Congenital cystic kidney disease",2.22066574367145e-24,0.999999999998811,0
"Bronchial irritation",2.22066574367145e-24,0.999999999998811,0
"Proctalgia",2.22066574367145e-24,0.999999999998811,0
"Left atrial hypertrophy",2.22066574367145e-24,0.999999999998811,0
"Diaphragmatic paralysis",2.22066574367145e-24,0.999999999998811,0
"Dermatitis atopic",2.22066574367145e-24,0.999999999998811,0
"Molluscum contagiosum",2.22066574367145e-24,0.999999999998811,0
"Congenital central nervous system anomaly",2.22066574367145e-24,0.999999999998811,0
"Limb deformity",2.22066574367145e-24,0.999999999998811,0
"Ventriculo-peritoneal shunt",2.22066574367145e-24,0.999999999998811,0
"Gastric ulcer",2.22066574367145e-24,0.999999999998811,0
"Hyperosmolar state",2.22066574367145e-24,0.999999999998811,0
"Analgesic drug level",2.22066574367145e-24,0.999999999998811,0
"Biopsy small intestine normal",2.22066574367145e-24,0.999999999998811,0
"Vocal cord paralysis",2.22066574367145e-24,0.999999999998811,0
"Marital problem",2.22066574367145e-24,0.999999999998811,0
"Blood human chorionic gonadotropin abnormal",2.22066574367145e-24,0.999999999998811,0
"Enterococcus test positive",2.22066574367145e-24,0.999999999998811,0
"Free haemoglobin",2.22066574367145e-24,0.999999999998811,0
"Hepatic ischaemia",2.22066574367145e-24,0.999999999998811,0
"Thyroxine increased",2.22066574367145e-24,0.999999999998811,0
"Vitiligo",2.22066574367145e-24,0.999999999998811,0
"Brain stem auditory evoked response abnormal",2.22066574367145e-24,0.999999999998811,0
"Ear tube insertion",2.22066574367145e-24,0.999999999998811,0
"PO2 increased",2.22066574367145e-24,0.999999999998811,0
"Prothrombin time shortened",2.22066574367145e-24,0.999999999998811,0
"Eye injury",2.22066574367145e-24,0.999999999998811,0
"Nightmare",2.22066574367145e-24,0.999999999998811,0
"Herpes zoster oticus",2.22066574367145e-24,0.999999999998811,0
"Neuromyelitis optica",2.22066574367145e-24,0.999999999998811,0
"Anaemia of chronic disease",2.22066574367145e-24,0.999999999998811,0
"Bulbar palsy",2.22066574367145e-24,0.999999999998811,0
"West Nile virus test positive",2.22066574367145e-24,0.999999999998811,0
"Reflex test abnormal",2.22066574367145e-24,0.999999999998811,0
"Abdominal tenderness",2.22066574367145e-24,0.999999999998811,0
"Eye haemorrhage",2.22066574367145e-24,0.999999999998811,0
"Skin nodule",2.22066574367145e-24,0.999999999998811,0
"Acinetobacter infection",2.22066574367145e-24,0.999999999998811,0
"Serotonin syndrome",2.22066574367145e-24,0.999999999998811,0
"Joint injection",2.22066574367145e-24,0.999999999998811,0
"Drug level increased",2.22066574367145e-24,0.999999999998811,0
"Antithrombin III increased",2.22066574367145e-24,0.999999999998811,0
"Epidural anaesthesia",2.22066574367145e-24,0.999999999998811,0
"Hiatus hernia",2.22066574367145e-24,0.999999999998811,0
"Mucous stools",2.22066574367145e-24,0.999999999998811,0
"Meconium in amniotic fluid",2.22066574367145e-24,0.999999999998811,0
"Cardiac disorder",2.22066574367145e-24,0.999999999998811,0
"Oligohydramnios",2.22066574367145e-24,0.999999999998811,0
"Uterine atony",2.22066574367145e-24,0.999999999998811,0
"Human herpes virus 6 serology negative",2.22066574367145e-24,0.999999999998811,0
"Varicella zoster serology negative",2.22066574367145e-24,0.999999999998811,0
"Decompression sickness",2.22066574367145e-24,0.999999999998811,0
"Arteriogram coronary abnormal",2.22066574367145e-24,0.999999999998811,0
"Laryngoscopy abnormal",2.22066574367145e-24,0.999999999998811,0
"Dementia Alzheimer's type",2.22066574367145e-24,0.999999999998811,0
"Biopsy lung abnormal",2.22066574367145e-24,0.999999999998811,0
"Positron emission tomogram abnormal",2.22066574367145e-24,0.999999999998811,0
